tolerance,n_eval,exact_label_match_rate,order_match_rate,coarse_label_match_rate,coarse_order_match_rate,rho_current,p_current,rho_trusted,p_trusted,rho_delta
0.1,10000,0.9041,0.8973,0.9955,0.9968,0.10633964573466967,1.518221756422479e-26,0.07401909814897024,1.2520699393491476e-13,0.032320547585699425
0.3,10000,0.9033,0.8967,0.9955,0.9968,0.10633964573466967,1.518221756422479e-26,0.08063666108524588,6.702965498581531e-16,0.02570298464942379
0.5,10000,0.902,0.8955,0.9952,0.9965,0.10633964573466967,1.518221756422479e-26,0.095467084164483,1.096569197925377e-21,0.010872561570186665
0.8,9997,0.8740622186655996,0.8660598179453837,0.9928978693608083,0.9936981094328299,0.10764271238428255,3.7275465278016336e-27,0.10707936889587996,6.906535828759188e-27,0.0005633434884025901
